City Name,Package,Variety,Origin,Item Size,Date,City Name,Package,Variety,Origin,Item Size,Color,year,month,真实价格,预测价格,误差(预测-真实)
ST. LOUIS,24 inch bins,HOWDEN WHITE TYPE,ILLINOIS,xlge,9/26/16,12.0,5.0,5.0,6.0,6.0,2.0,2016,9,150.0,139.63864355481545,-10.361356445184555
COLUMBIA,24 inch bins,HOWDEN WHITE TYPE,VIRGINIA,sml,9/23/17,4.0,5.0,5.0,22.0,5.0,2.0,2017,9,200.0,199.95362545392138,-0.046374546078624235
BALTIMORE,24 inch bins,CINDERELLA,MARYLAND,xlge,9/30/17,1.0,5.0,2.0,8.0,6.0,0.0,2017,9,245.0,232.43129314517134,-12.568706854828662
BALTIMORE,24 inch bins,BIG MACK TYPE,MARYLAND,,10/1/16,1.0,5.0,0.0,8.0,5.0,2.0,2016,10,55.0,48.79743615004906,-6.202563849950941
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,10/15/16,2.0,7.0,4.0,2.0,3.0,0.0,2016,10,150.0,157.40403886713514,7.404038867135142
SAN FRANCISCO,35 lb cartons,PIE TYPE,CALIFORNIA,,12/3/16,11.0,6.0,9.0,1.0,5.0,0.0,2016,12,24.0,35.80113805380186,11.801138053801857
BOSTON,24 inch bins,CINDERELLA,MASSACHUSETTS,xlge,10/29/16,2.0,5.0,2.0,9.0,6.0,2.0,2016,10,272.5,271.2137823487389,-1.2862176512610972
BALTIMORE,24 inch bins,BIG MACK TYPE,VIRGINIA,,10/1/16,1.0,5.0,0.0,22.0,5.0,2.0,2016,10,55.0,50.515144457274445,-4.484855542725555
CHICAGO,36 inch bins,MIXED HEIRLOOM VARIETIES,ILLINOIS,lge,11/19/16,3.0,7.0,8.0,6.0,2.0,0.0,2016,11,175.0,178.7478471870602,3.747847187060188
BALTIMORE,24 inch bins,BIG MACK TYPE,VIRGINIA,,10/8/16,1.0,5.0,0.0,22.0,5.0,2.0,2016,10,55.0,50.515144457274445,-4.484855542725555
SAN FRANCISCO,40 lb cartons,MINIATURE,CALIFORNIA,,10/1/16,11.0,8.0,7.0,1.0,5.0,0.0,2016,10,32.5,31.47512285503707,-1.0248771449629288
ST. LOUIS,1/2 bushel cartons,MINIATURE,CANADA,,9/30/16,12.0,2.0,7.0,2.0,5.0,0.0,2016,9,15.0,13.951404847645309,-1.0485951523546913
CHICAGO,24 inch bins,PIE TYPE,OHIO,med,11/5/16,3.0,5.0,9.0,17.0,3.0,0.0,2016,11,180.0,179.0399864926022,-0.9600135073978038
CHICAGO,1 1/9 bushel cartons,PIE TYPE,ILLINOIS,med,9/2/17,3.0,0.0,9.0,6.0,3.0,0.0,2017,9,20.0,19.28767887954005,-0.7123211204599507
CHICAGO,1 1/9 bushel cartons,PIE TYPE,MICHIGAN,med,10/15/16,3.0,0.0,9.0,11.0,3.0,0.0,2016,10,17.5,18.397396607390043,0.8973966073900428
COLUMBIA,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,10/29/16,4.0,7.0,4.0,11.0,2.0,0.0,2016,10,150.0,145.1996343898033,-4.800365610196707
ST. LOUIS,36 inch bins,HOWDEN TYPE,ILLINOIS,med,9/26/16,12.0,7.0,4.0,6.0,3.0,0.0,2016,9,130.0,122.92199001306051,-7.078009986939492
COLUMBIA,24 inch bins,PIE TYPE,PENNSYLVANIA,med-lge,10/1/16,4.0,5.0,9.0,18.0,4.0,0.0,2016,10,185.0,199.8767007564164,14.876700756416398
NEW YORK,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,xlge,9/24/16,9.0,7.0,4.0,18.0,6.0,0.0,2016,9,160.0,154.13020116617324,-5.8697988338267635
BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,sml,10/8/16,1.0,2.0,7.0,8.0,5.0,2.0,2016,10,15.0,15.316273529085894,0.316273529085894
COLUMBIA,1/2 bushel cartons,MINIATURE,PENNSYLVANIA,,9/16/17,4.0,2.0,7.0,18.0,5.0,2.0,2017,9,15.0,21.47812748615868,6.47812748615868
DALLAS,36 inch bins,HOWDEN WHITE TYPE,TEXAS,jbo,10/15/16,5.0,7.0,5.0,20.0,1.0,2.0,2016,10,160.0,153.52742600514938,-6.47257399485062
COLUMBIA,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,med,10/29/16,4.0,7.0,4.0,18.0,3.0,0.0,2016,10,150.0,143.65934827452728,-6.340651725472725
SAN FRANCISCO,36 inch bins,CINDERELLA,CALIFORNIA,,9/23/17,11.0,7.0,2.0,1.0,5.0,0.0,2017,9,220.0,187.42408881907159,-32.575911180928415
COLUMBIA,36 inch bins,HOWDEN TYPE,NORTH CAROLINA,med,10/22/16,4.0,7.0,4.0,16.0,3.0,0.0,2016,10,140.0,136.95051383627606,-3.049486163723941
BOSTON,36 inch bins,PIE TYPE,MASSACHUSETTS,,9/9/17,2.0,7.0,9.0,9.0,5.0,0.0,2017,9,300.0,276.5594174210676,-23.44058257893238
DETROIT,24 inch bins,PIE TYPE,MICHIGAN,sml,10/1/16,6.0,5.0,9.0,11.0,5.0,0.0,2016,10,175.0,152.35691366994976,-22.643086330050238
COLUMBIA,24 inch bins,HOWDEN WHITE TYPE,PENNSYLVANIA,sml,9/23/17,4.0,5.0,5.0,18.0,5.0,2.0,2017,9,200.0,219.51265420478828,19.512654204788277
CHICAGO,36 inch bins,HOWDEN WHITE TYPE,ILLINOIS,lge,10/22/16,3.0,7.0,5.0,6.0,2.0,2.0,2016,10,150.0,148.19466816608272,-1.805331833917279
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,CALIFORNIA,lge,10/8/16,11.0,5.0,4.0,1.0,2.0,0.0,2016,10,142.5,171.1183883437246,28.618388343724604
CHICAGO,36 inch bins,HOWDEN TYPE,OHIO,xlge,11/5/16,3.0,7.0,4.0,17.0,6.0,0.0,2016,11,60.0,87.48672138245352,27.486721382453524
COLUMBIA,24 inch bins,BLUE TYPE,PENNSYLVANIA,med-lge,10/1/16,4.0,5.0,1.0,18.0,4.0,0.0,2016,10,200.0,193.3703811924877,-6.629618807512287
DALLAS,24 inch bins,HOWDEN WHITE TYPE,TEXAS,jbo,10/22/16,5.0,5.0,5.0,20.0,1.0,2.0,2016,10,150.0,148.74181550821092,-1.2581844917890805
SAN FRANCISCO,bushel cartons,PIE TYPE,CALIFORNIA,,11/5/16,11.0,13.0,9.0,1.0,5.0,0.0,2016,11,17.0,17.750124112898906,0.7501241128989058
CHICAGO,1 1/9 bushel cartons,PIE TYPE,MICHIGAN,med,10/22/16,3.0,0.0,9.0,11.0,3.0,0.0,2016,10,17.0,18.397396607390043,1.3973966073900428
COLUMBIA,36 inch bins,HOWDEN TYPE,VIRGINIA,jbo,9/16/17,4.0,7.0,4.0,22.0,1.0,0.0,2017,9,160.0,155.5395970768039,-4.4604029231961135
DALLAS,24 inch bins,HOWDEN TYPE,TEXAS,sml,9/24/16,5.0,5.0,4.0,20.0,5.0,0.0,2016,9,150.0,132.800865314352,-17.199134685648005
COLUMBIA,bushel cartons,MINIATURE,PENNSYLVANIA,lge,10/1/16,4.0,13.0,7.0,18.0,2.0,0.0,2016,10,30.0,25.756052826898895,-4.243947173101105
SAN FRANCISCO,36 inch bins,HOWDEN TYPE,CALIFORNIA,jbo,10/8/16,11.0,7.0,4.0,1.0,1.0,0.0,2016,10,142.5,143.24980861220993,0.7498086122099323
COLUMBIA,36 inch bins,HOWDEN TYPE,VIRGINIA,lge,10/8/16,4.0,7.0,4.0,22.0,2.0,0.0,2016,10,140.0,141.43218561844466,1.432185618444663
BOSTON,1/2 bushel cartons,MINIATURE,MASSACHUSETTS,sml,10/1/16,2.0,2.0,7.0,9.0,5.0,0.0,2016,10,16.5,16.64640650167689,0.14640650167688918
SAN FRANCISCO,24 inch bins,PIE TYPE,WASHINGTON,,11/5/16,11.0,5.0,9.0,23.0,5.0,0.0,2016,11,350.0,272.63981980453,-77.36018019546998
NEW YORK,1 1/9 bushel cartons,PIE TYPE,OHIO,med,10/8/16,9.0,0.0,9.0,17.0,3.0,0.0,2016,10,17.0,21.564482159562818,4.564482159562818
BOSTON,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,9/24/16,2.0,7.0,4.0,11.0,6.0,0.0,2016,9,175.0,174.1452643989608,-0.8547356010392093
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,xlge,10/1/16,2.0,7.0,4.0,2.0,6.0,0.0,2016,10,180.0,173.60062689632855,-6.399373103671451
NEW YORK,1/2 bushel cartons,MINIATURE,OHIO,sml,9/23/17,9.0,2.0,7.0,17.0,5.0,0.0,2017,9,17.0,20.08896356456955,3.08896356456955
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,CALIFORNIA,,10/8/16,11.0,2.0,7.0,1.0,5.0,2.0,2016,10,21.0,18.42496559483845,-2.5750344051615492
COLUMBIA,24 inch bins,PIE TYPE,PENNSYLVANIA,lge,9/9/17,4.0,5.0,9.0,18.0,2.0,0.0,2017,9,200.0,200.58782532243737,0.587825322437368
ATLANTA,24 inch bins,HOWDEN TYPE,MICHIGAN,med-lge,10/8/16,0.0,5.0,4.0,11.0,4.0,0.0,2016,10,152.375,147.06226987448505,-5.312730125514946
LOS ANGELES,36 inch bins,CINDERELLA,CALIFORNIA,med-lge,9/23/17,7.0,7.0,2.0,1.0,4.0,0.0,2017,9,0.3,31.239747172068792,30.93974717206879
CHICAGO,36 inch bins,FAIRYTALE,MEXICO,lge,1/28/17,3.0,7.0,3.0,10.0,2.0,0.0,2017,1,185.0,215.81534363663056,30.81534363663056
BOSTON,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,10/8/16,2.0,7.0,4.0,18.0,2.0,0.0,2016,10,150.0,159.37096709536002,9.370967095360015
BALTIMORE,1/2 bushel cartons,MINIATURE,MARYLAND,,9/30/17,1.0,2.0,7.0,8.0,5.0,0.0,2017,9,18.0,16.952961803942067,-1.0470381960579331
BOSTON,36 inch bins,PIE TYPE,MASSACHUSETTS,med-lge,11/19/16,2.0,7.0,9.0,9.0,4.0,0.0,2016,11,210.0,229.5954652554009,19.59546525540091
LOS ANGELES,24 inch bins,HOWDEN TYPE,CALIFORNIA,med,10/8/16,7.0,5.0,4.0,1.0,3.0,0.0,2016,10,125.0,119.50056476910893,-5.499435230891066
ST. LOUIS,1/2 bushel cartons,MINIATURE,CANADA,,9/30/16,12.0,2.0,7.0,2.0,5.0,2.0,2016,9,15.0,15.277231215319716,0.2772312153197163
DALLAS,50 lb sacks,PIE TYPE,TEXAS,,9/23/17,5.0,10.0,9.0,20.0,5.0,2.0,2017,9,35.0,57.99358073159831,22.993580731598307
DALLAS,36 inch bins,FAIRYTALE,TEXAS,jbo,9/24/16,5.0,7.0,3.0,20.0,1.0,0.0,2016,9,160.0,182.30344316293233,22.303443162932325
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,jbo,10/29/16,2.0,7.0,4.0,2.0,1.0,0.0,2016,10,180.0,179.66177657179804,-0.3382234282019567
ATLANTA,24 inch bins,PIE TYPE,NORTH CAROLINA,sml,9/24/16,0.0,5.0,9.0,16.0,5.0,0.0,2016,9,135.0,146.45689937140443,11.456899371404432
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,CALIFORNIA,,10/22/16,11.0,2.0,7.0,1.0,5.0,2.0,2016,10,21.0,18.42496559483845,-2.5750344051615492
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,10/29/16,2.0,7.0,4.0,2.0,2.0,0.0,2016,10,165.0,165.528025681948,0.5280256819480087
DALLAS,36 inch bins,PIE TYPE,TEXAS,med,10/8/16,5.0,7.0,9.0,20.0,3.0,0.0,2016,10,300.0,268.2251084250363,-31.774891574963704
BALTIMORE,24 inch bins,FAIRYTALE,VIRGINIA,xlge,10/29/16,1.0,5.0,3.0,22.0,6.0,0.0,2016,10,230.0,233.23910483847087,3.2391048384708654
COLUMBIA,24 inch bins,CINDERELLA,PENNSYLVANIA,lge,9/23/17,4.0,5.0,2.0,18.0,2.0,0.0,2017,9,175.0,178.67416789738147,3.6741678973814658
ST. LOUIS,22 lb cartons,MINIATURE,ILLINOIS,,9/28/16,12.0,4.0,7.0,6.0,5.0,2.0,2016,9,14.75,15.27982679660801,0.5298267966080097
LOS ANGELES,each,BIG MACK TYPE,CALIFORNIA,lge,10/8/16,7.0,14.0,0.0,1.0,2.0,0.0,2016,10,250.0,181.85867751213553,-68.14132248786447
SAN FRANCISCO,35 lb cartons,PIE TYPE,CALIFORNIA,,11/19/16,11.0,6.0,9.0,1.0,5.0,0.0,2016,11,24.25,35.80113805380186,11.551138053801857
NEW YORK,24 inch bins,PIE TYPE,PENNSYLVANIA,lge,9/23/17,9.0,5.0,9.0,18.0,2.0,0.0,2017,9,140.0,142.27045181155063,2.270451811550629
ST. LOUIS,24 inch bins,MIXED HEIRLOOM VARIETIES,ILLINOIS,,9/27/16,12.0,5.0,8.0,6.0,5.0,0.0,2016,9,100.0,108.25301114010115,8.253011140101151
NEW YORK,1 1/9 bushel cartons,PIE TYPE,OHIO,med,10/1/16,9.0,0.0,9.0,17.0,3.0,0.0,2016,10,17.0,21.564482159562818,4.564482159562818
NEW YORK,36 inch bins,PIE TYPE,PENNSYLVANIA,lge,9/30/17,9.0,7.0,9.0,18.0,2.0,0.0,2017,9,232.5,237.58661091397772,5.086610913977722
BOSTON,36 inch bins,PIE TYPE,PENNSYLVANIA,xlge,9/16/17,2.0,7.0,9.0,18.0,6.0,0.0,2017,9,285.0,264.9061090063207,-20.09389099367928
COLUMBIA,1/2 bushel cartons,MINIATURE,PENNSYLVANIA,sml,10/8/16,4.0,2.0,7.0,18.0,5.0,2.0,2016,10,18.0,21.12864375754181,3.128643757541809
COLUMBIA,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,sml,10/8/16,4.0,7.0,4.0,18.0,5.0,0.0,2016,10,125.0,129.24215396382567,4.242153963825672
CHICAGO,36 inch bins,MIXED HEIRLOOM VARIETIES,ILLINOIS,lge,11/5/16,3.0,7.0,8.0,6.0,2.0,0.0,2016,11,175.0,178.7478471870602,3.747847187060188
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,sml,9/24/16,2.0,7.0,4.0,2.0,5.0,0.0,2016,9,150.0,162.18637963774705,12.186379637747052
LOS ANGELES,35 lb cartons,MINIATURE,CALIFORNIA,,9/23/17,7.0,6.0,7.0,1.0,5.0,2.0,2017,9,24.5,25.388509677326784,0.888509677326784
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,exjbo,10/22/16,2.0,7.0,4.0,2.0,0.0,0.0,2016,10,175.0,179.66177657179804,4.661776571798043
COLUMBIA,24 inch bins,CINDERELLA,PENNSYLVANIA,lge,9/16/17,4.0,5.0,2.0,18.0,2.0,0.0,2017,9,167.5,178.67416789738147,11.174167897381466
SAN FRANCISCO,35 lb cartons,MINIATURE,CALIFORNIA,,9/30/17,11.0,6.0,7.0,1.0,5.0,2.0,2017,9,24.0,22.363974172844074,-1.636025827155926
BOSTON,1/2 bushel cartons,MINIATURE,MASSACHUSETTS,sml,11/5/16,2.0,2.0,7.0,9.0,5.0,0.0,2016,11,16.5,17.32030111671637,0.8203011167163687
BOSTON,1/2 bushel cartons,FAIRYTALE,MASSACHUSETTS,sml,10/29/16,2.0,2.0,3.0,9.0,5.0,0.0,2016,10,15.5,16.19589272449968,0.6958927244996786
CHICAGO,36 inch bins,HOWDEN WHITE TYPE,ILLINOIS,lge,11/5/16,3.0,7.0,5.0,6.0,2.0,2.0,2016,11,150.0,136.27209331850565,-13.727906681494346
BOSTON,1/2 bushel cartons,MINIATURE,MASSACHUSETTS,sml,10/8/16,2.0,2.0,7.0,9.0,5.0,2.0,2016,10,16.5,16.070709670975294,-0.4292903290247061
PHILADELPHIA,24 inch bins,PIE TYPE,DELAWARE,sml,9/30/17,10.0,5.0,9.0,4.0,5.0,0.0,2017,9,140.0,163.12732051680732,23.127320516807316
COLUMBIA,24 inch bins,PIE TYPE,PENNSYLVANIA,med-lge,10/1/16,4.0,5.0,9.0,18.0,4.0,2.0,2016,10,225.0,223.3387092130629,-1.6612907869370872
SAN FRANCISCO,bushel cartons,PIE TYPE,CALIFORNIA,,10/15/16,11.0,13.0,9.0,1.0,5.0,0.0,2016,10,17.0,14.645808044561077,-2.354191955438923
CHICAGO,24 inch bins,PIE TYPE,ILLINOIS,med,10/1/16,3.0,5.0,9.0,6.0,3.0,0.0,2016,10,200.0,198.85853159468837,-1.1414684053116275
DALLAS,24 inch bins,PIE TYPE,NEW MEXICO,med,10/8/16,5.0,5.0,9.0,14.0,3.0,0.0,2016,10,100.0,141.4784792133231,41.47847921332311
COLUMBIA,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,med,10/8/16,4.0,7.0,4.0,18.0,3.0,0.0,2016,10,150.0,143.65934827452728,-6.340651725472725
COLUMBIA,24 inch bins,MIXED HEIRLOOM VARIETIES,VIRGINIA,,9/30/17,4.0,5.0,8.0,22.0,5.0,0.0,2017,9,200.0,200.25039276774916,0.25039276774916175
LOS ANGELES,36 inch bins,HOWDEN TYPE,CALIFORNIA,lge,9/16/17,7.0,7.0,4.0,1.0,2.0,0.0,2017,9,120.0,156.3974920585415,36.3974920585415
DALLAS,24 inch bins,MIXED HEIRLOOM VARIETIES,TEXAS,med,10/8/16,5.0,5.0,8.0,20.0,3.0,0.0,2016,10,150.0,148.90594191290344,-1.0940580870965562
CHICAGO,24 inch bins,PIE TYPE,ILLINOIS,med,9/24/16,3.0,5.0,9.0,6.0,3.0,0.0,2016,9,200.0,200.40922882323483,0.4092288232348267
DETROIT,bins,HOWDEN TYPE,MICHIGAN,xlge,9/30/17,6.0,11.0,4.0,11.0,6.0,0.0,2017,9,175.0,165.134316748948,-9.86568325105199
DETROIT,24 inch bins,MIXED HEIRLOOM VARIETIES,MICHIGAN,med,10/22/16,6.0,5.0,8.0,11.0,3.0,0.0,2016,10,135.0,139.68901489119312,4.689014891193125
COLUMBIA,36 inch bins,HOWDEN TYPE,NORTH CAROLINA,jbo,10/15/16,4.0,7.0,4.0,16.0,1.0,0.0,2016,10,160.0,167.8020529400187,7.8020529400187115
CHICAGO,1/2 bushel cartons,MINIATURE,OHIO,sml,10/8/16,3.0,2.0,7.0,17.0,5.0,0.0,2016,10,17.5,14.924435773093103,-2.575564226906897
COLUMBIA,36 inch bins,HOWDEN TYPE,NORTH CAROLINA,jbo,10/22/16,4.0,7.0,4.0,16.0,1.0,0.0,2016,10,160.0,167.8020529400187,7.8020529400187115
DALLAS,24 inch bins,HOWDEN WHITE TYPE,TEXAS,jbo,9/24/16,5.0,5.0,5.0,20.0,1.0,2.0,2016,9,160.0,151.9389663133252,-8.06103368667479
PHILADELPHIA,1/2 bushel cartons,MINIATURE,OHIO,,9/24/16,10.0,2.0,7.0,17.0,5.0,0.0,2016,9,17.5,13.50374417928594,-3.99625582071406
COLUMBIA,24 inch bins,KNUCKLE HEAD,NORTH CAROLINA,med,10/15/16,4.0,5.0,6.0,16.0,3.0,0.0,2016,10,170.0,165.43048764169006,-4.569512358309936
DETROIT,1 1/9 bushel cartons,PIE TYPE,MICHIGAN,sml,9/16/17,6.0,0.0,9.0,11.0,5.0,0.0,2017,9,20.0,18.766145357029746,-1.233854642970254
CHICAGO,36 inch bins,FAIRYTALE,MEXICO,lge,2/11/17,3.0,7.0,3.0,10.0,2.0,0.0,2017,2,217.5,215.81534363663056,-1.6846563633694416
NEW YORK,1 1/9 bushel crates,MINIATURE,NEW YORK,sml,10/8/16,9.0,1.0,7.0,15.0,5.0,0.0,2016,10,18.0,20.72468045564815,2.7246804556481514
COLUMBIA,1/2 bushel cartons,MINIATURE,PENNSYLVANIA,sml,10/22/16,4.0,2.0,7.0,18.0,5.0,0.0,2016,10,18.0,18.525751337963197,0.5257513379631966
SAN FRANCISCO,35 lb cartons,PIE TYPE,CALIFORNIA,,9/2/17,11.0,6.0,9.0,1.0,5.0,0.0,2017,9,36.0,37.94259324825141,1.9425932482514128
NEW YORK,36 inch bins,HOWDEN TYPE,NEW YORK,xlge,10/22/16,9.0,7.0,4.0,15.0,6.0,0.0,2016,10,160.0,142.93008101162354,-17.069918988376457
BOSTON,36 inch bins,HOWDEN TYPE,MASSACHUSETTS,xlge,10/15/16,2.0,7.0,4.0,9.0,6.0,0.0,2016,10,202.5,200.26697801966552,-2.2330219803344846
SAN FRANCISCO,40 lb cartons,MINIATURE,CALIFORNIA,,10/22/16,11.0,8.0,7.0,1.0,5.0,0.0,2016,10,32.5,31.47512285503707,-1.0248771449629288
PHILADELPHIA,36 inch bins,HOWDEN TYPE,DELAWARE,lge,9/23/17,10.0,7.0,4.0,4.0,2.0,0.0,2017,9,140.0,141.4848549128272,1.4848549128271884
BOSTON,1/2 bushel cartons,FAIRYTALE,MASSACHUSETTS,sml,10/8/16,2.0,2.0,3.0,9.0,5.0,0.0,2016,10,15.5,16.19589272449968,0.6958927244996786
COLUMBIA,24 inch bins,PIE TYPE,VIRGINIA,med,10/8/16,4.0,5.0,9.0,22.0,3.0,0.0,2016,10,200.0,205.471131982195,5.471131982195004
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,med,10/1/16,2.0,7.0,4.0,2.0,3.0,0.0,2016,10,150.0,157.40403886713514,7.404038867135142
COLUMBIA,24 inch bins,PIE TYPE,PENNSYLVANIA,lge,9/23/17,4.0,5.0,9.0,18.0,2.0,0.0,2017,9,200.0,200.58782532243737,0.587825322437368
SAN FRANCISCO,1/2 bushel cartons,MINIATURE,CALIFORNIA,,10/29/16,11.0,2.0,7.0,1.0,5.0,1.0,2016,10,20.0,21.071582167258036,1.0715821672580361
ST. LOUIS,36 inch bins,MINIATURE,MICHIGAN,sml,9/28/16,12.0,7.0,7.0,11.0,5.0,0.0,2016,9,275.0,267.9919908785657,-7.008009121434327
ST. LOUIS,36 inch bins,HOWDEN TYPE,MICHIGAN,xlge,9/30/16,12.0,7.0,4.0,11.0,6.0,0.0,2016,9,115.0,131.88040411014586,16.88040411014586
DALLAS,24 inch bins,CINDERELLA,TEXAS,jbo,10/15/16,5.0,5.0,2.0,20.0,1.0,0.0,2016,10,150.0,157.99947915952706,7.999479159527056
DETROIT,24 inch bins,PIE TYPE,MICHIGAN,lge,11/5/16,6.0,5.0,9.0,11.0,2.0,0.0,2016,11,117.5,127.81481825992256,10.31481825992256
DALLAS,24 inch bins,HOWDEN TYPE,TEXAS,sml,10/1/16,5.0,5.0,4.0,20.0,5.0,0.0,2016,10,137.5,127.49932546849566,-10.000674531504345
ATLANTA,36 inch bins,PIE TYPE,MICHIGAN,sml,11/5/16,0.0,7.0,9.0,11.0,5.0,0.0,2016,11,248.0,222.42521844178052,-25.574781558219485
PHILADELPHIA,24 inch bins,KNUCKLE HEAD,NEW JERSEY,med,10/8/16,10.0,5.0,6.0,13.0,3.0,0.0,2016,10,210.0,171.45349611881537,-38.546503881184634
DALLAS,24 inch bins,FAIRYTALE,TEXAS,jbo,9/24/16,5.0,5.0,3.0,20.0,1.0,0.0,2016,9,160.0,195.67873360177643,35.67873360177643
DALLAS,24 inch bins,FAIRYTALE,TEXAS,sml,10/1/16,5.0,5.0,3.0,20.0,5.0,0.0,2016,10,150.0,156.84203321137912,6.842033211379118
BOSTON,24 inch bins,BLUE TYPE,MASSACHUSETTS,xlge,10/8/16,2.0,5.0,1.0,9.0,6.0,0.0,2016,10,272.5,282.5724106247766,10.07241062477658
BALTIMORE,24 inch bins,FAIRYTALE,MARYLAND,xlge,10/8/16,1.0,5.0,3.0,8.0,6.0,0.0,2016,10,247.5,235.42254674907213,-12.077453250927874
BOSTON,36 inch bins,BIG MACK TYPE,PENNSYLVANIA,jbo,9/30/17,2.0,7.0,0.0,18.0,1.0,0.0,2017,9,212.5,189.0779202207668,-23.4220797792332
DALLAS,20 lb cartons,PIE TYPE,MISSOURI,lge,10/22/16,5.0,3.0,9.0,12.0,2.0,0.0,2016,10,20.5,15.67661521811508,-4.82338478188492
CHICAGO,36 inch bins,FAIRYTALE,ILLINOIS,med,10/1/16,3.0,7.0,3.0,6.0,3.0,0.0,2016,10,200.0,201.00894289643324,1.0089428964332399
LOS ANGELES,each,BIG MACK TYPE,CALIFORNIA,sml,10/15/16,7.0,14.0,0.0,1.0,5.0,0.0,2016,10,0.55,50.22626809241452,49.676268092414524
DALLAS,36 inch bins,FAIRYTALE,TEXAS,jbo,10/22/16,5.0,7.0,3.0,20.0,1.0,0.0,2016,10,160.0,180.3379801543045,20.33798015430449
BOSTON,24 inch bins,FAIRYTALE,MASSACHUSETTS,xlge,9/24/16,2.0,5.0,3.0,9.0,6.0,2.0,2016,9,272.5,274.9359122236394,2.4359122236393773
CHICAGO,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,11/5/16,3.0,7.0,4.0,11.0,2.0,0.0,2016,11,130.0,117.91469331834104,-12.085306681658963
